"Title";"Acronym";"Rank";"PrimaryFoR"
"ACM Conference on Learning @ Scale";"L@S";"B";"4601"
"ACM International Conference on Advances in Geographic Information Systems";"SIGSPATIAL";"A";"4601"
"ACM SIGUCCS Conference on User Services";"SIGUCCS";"National: USA";"4601"
"ACM Symposium on Applied Computing";"SAC";"Multiconference";"4601"
"American Medical Informatics Annual Fall Symposium";"AMIA";"National: USA";"4601"
"Applied Computing Conference";"ACC";"C";"4601"
"Artificial Intelligence Applications and Innovations";"AIAI";"National/Regional";"4601"
"Asia-Pacific Bioinformatics Conference";"APBC";"B";"4601"
"Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference";"CAADRIA";"C";"4601"
"Body Sensor Networks";"BSN";"C";"4601"
"Conference of the European Society for Fuzzy Logic and Technologies";"EUSFLAT";"C";"4602"
"CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS";"FedCSIS";"C";"4602"
"Discovery Science";"DS";"B";"4611"
"DNA Computing and Molecular Programming";"DNA";"B";"4601"
"Educational Data Mining";"EDM";"B";"4601"
"Euromicro Conference on Software Engineering and Advanced Applications";"SEAA";"B";"4612"
"European Conference on Computational Biology";"ECCB";"C";"4601"
"European Conference on Digital Government (was European Conference on e-Government ECEG)";"ECDG";"C";"4601"
"European Conference on Technology Enhanced Learning";"EC-TEL";"B";"4601"
"HCist - International Conference on Health and Social Care Information Systems and Technologies";"HCist";"Unranked";"4601"
"Health Informatics Conference";"HIC";"Australasian C";"4601"
"IADIS International Conference Applied Computing";"IADIS AC";"C";"4601"
"ICT in Education, Research, and Industrial Applications";"ICTERI";"National: Ukraine";"4601"
"IEEE Bioinformatics and Bioengineering";"BIBE";"C";"4601"
"IEEE Global Engineering Education Conference";"EDUCON";"C";"4601"
"IEEE Industry Applications Society Annual Conference";"IAS";"National: USA";"4601"
"IEEE International Conference on Advanced Learning Technologies";"ICALT";"B";"4601"
"IEEE International Conference on e-Science and Grid Computing";"e-Science";"B";"4606"
"IEEE international conference on ehealth networking applications and services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006)";"HealthCom";"C";"4601"
"IEEE International Conference on Fog and Edge Computing";"ICFEC";"C";"4606"
"IEEE International Conference on Robot and Human Interactive Communication";"RO-MAN";"B";"4608"
"IEEE International Conference on Smart Computing";"SmartComp";"B";"4601"
"IEEE International Geoscience and Remote Sensing Symposium";"IGARSS";"C";"4601"
"IEEE International Symposium on Computer-Based Medical Systems";"CBMS";"B";"4601"
"IEEE Symposium on Computational Intelligence for Financial Engineering";"IEEE CIFEr";"C";"4601"
"IEEE Symposium on Computational Intelligence for Security and Defence Applications";"IEEE CISDA";"C";"4601"
"IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology";"CIBCB";"C";"4601"
"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies";"BDCAT";"C";"4611"
"IEEE/ACM International Symposium on Low Power Electronics and Design";"ISLPED";"A";"CSE"
"IFIP Working Conferences on Virtual Enterprises";"PRO-VE";"C";"4606"
"Industrial Simulation Conference";"ISC";"C";"4602"
"Information Visualization in Biomedical Informatics";"IVBI";"C";"4601"
"Innovative Applications in AI";"IAAI";"C";"4602"
"Intelligent Systems in Molecular Biology";"ISMB";"A";"4601"
"Intenational Environmental Modelling and Software Society";"iEMSs";"C";"4601"
"International Computer Software and Applications Conference";"COMPSAC";"B";"4601"
"International Conference in Methodologies and Intelligent Systems for Technology Enhanced Learning";"MIS4TEL";"National: Spain";"4601"
"International Conference of the Immersive Learning Research Network";"iLRN";"C";"4601"
"International Conference on Applications of Evolutionary Computation";"EvoApplications";"B";"4602"
"International Conference on Artificial Intelligence and Law";"ICAIL";"C";"4602"
"International Conference on Artificial Intelligence in Education";"AIED";"A";"4601"
"International Conference on Artificial Intelligence in Medicine";"AIME";"B";"4601"
"International Conference on Computational Molecular Biology";"RECOMB";"B";"4601"
"International Conference on Computational Science";"ICCS";"Multiconference";"4601"
"International Conference on Computer Supported Education";"CSEDU";"B";"4608"
"International Conference on Computers and their Applications";"CATA";"National: USA";"4601"
"International Conference on Computers Helping People with Special Needs";"ICCHP";"C";"4601"
"International Conference on Computers in Education";"ICCE";"C";"4601"
"International Conference on Control, Decision and Information Technologies";"CoDIT";"C";"4612"
"International Conference on Digital Society";"ICDS";"C";"4601"
"International Conference on Electronic Commerce";"ICEC";"C";"4601"
"International Conference on Factory Communication Systems";"WFCS";"C";"CSE"
"International Conference on Indoor Positioning and Indoor Navigation";"IPIN";"C";"4606"
"International Conference on Information and Communication Technologies and Development";"ICTD";"C";"4601"
"International Conference on Information and Communication Technologies for Ageing Well and e-Health";"ICT4AWE";"C";"4601"
"International Conference on Information and Communication Technologies in Tourism";"ENTER";"C";"4601"
"International Conference on Information Technology and Applications";"ICITA";"Australasian C";"4601"
"International Conference on Innovations for Community Services (was Innovative Internet Computer Systems IICS until 2014)";"I4CS";"C";"4601"
"International Conference on Intelligent Systems Designs and Applications";"ISDA";"C";"4602"
"International Conference on Intelligent Tutoring Systems";"ITS";"B";"4601"
"International Conference on Learning Analytics and Knowledge";"LAK";"A";"4608"
"International Conference on Legal Knowledge and Information Systems";"JURIX";"C";"4601"
"International Conference on Model and Data Engineering";"MEDI";"C";"4605"
"International Conference on Reversible Computation";"RC";"C";"4613"
"International Conference on Smart homes and health Telematics";"ICOST";"C";"4601"
"International Conference on Sustainable Energy Information Technology";"SEIT";"Unranked";"4601"
"International Conference on Virtual Rehabilitation";"ICVR";"Unranked";"4601"
"International Conference on Web and Social Media";"ICWSM";"A";"4601"
"International Joint Conference on Rules and Reasoning";"RuleML+RR";"B";"4602"
"International Symposium on Innovations in Intelligent Systems and Applications";"INISTA";"C";"4602"
"International Symposium on Spatial and Temporal Databases";"SSTD";"B";"4601"
"International Symposium on Spatial Data Handling";"SDH";"C";"4601"
"International Symposium on Spatial Data Quality";"ISSDQ";"C";"4601"
"International Workshop on Soft Computing Applications";"SOFA";"National: Romania";"4601"
"International Workshop on Web and Wireless Geographical Information Systems";"W2GIS";"C";"4601"
"ISCA International Conference on Computer Applications in Industry and Engineering";"CAINE";"C";"4601"
"Language, Data and Knowledge";"LDK";"C";"4602"
"Medical Image Computing and Computer-Assisted Intervention";"MICCAI";"A";"4601"
"Pacific Symposium on Biocomputing";"PSB";"National: USA";"4601"
"Practical Applications of Agents and Multiagent Systems";"PAAMS";"National: Spain";"4602"
"Practice and Theory of Automated Timetabling";"PATAT";"C";"4601"
"Simulation and Synthesis in Medical Imaging";"SASHIMI";"C";"4602"
"Software Product Lines Conference";"SPLC";"B";"4612"
"Utility and Cloud Computing";"UCC";"Unranked";"4606"
"Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems";"ATMOS";"C";"4613"
"Workshop on Algorithms in Bioinformatics";"WABI";"C";"4601"
"World Conference on Educational Multimedia, Hypermedia and Telecommunications";"ED-MEDIA";"C";"4601"
"AAAI/ACM Conference on AI, Ethics, and Society";"AIES";"C";"4608"
"ACM Conference on Economics and Computation";"EC";"A*";"4602"
"ACM International Conference on Information and Knowledge Management";"CIKM";"A";"4605"
"ACM/IEEE International Conference on Human-Robot Interaction";"HRI";"A*";"4608"
"Annual Meeting of the Cognitive Science Society";"CogSci";"B";"4602"
"Annual Meeting of the Special Interest Group on Discourse and Dialog";"SIGdial";"B";"4602"
"Applications of Natural Language to Data Bases";"NLDB";"C";"4602"
"Artificial Intelligence Applications and Innovations";"AIAI";"National/Regional";"4601"
"Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems)";"IES";"C";"4602"
"Asian Conference on Intelligent Information and Database Systems";"ACIIDS";"B";"4605"
"Association for Computational Linguistics";"ACL";"A*";"4602"
"Australasian Conference on Robotics and Automation";"ACRA";"Australasian C";"4602"
"Australasian Joint Conference on Artificial Intelligence";"AI";"Australasian B";"4602"
"Australasian Language Technology Workshop";"ALTA";"Australasian C";"4602"
"Australasian Speech Science and Technology";"SST";"Australasian C";"4602"
"Computer Sciences and Information Technologies";"CSIT";"National";"4602"
"Conference in Uncertainty in Artificial Intelligence";"UAI";"A";"4602"
"Conference of the Association for Machine Translation in the Americas";"AMTA";"National/Regional";"4602"
"Conference of the Association of Asian-Pacific Operational Research Societies";"APORS";"C";"4602"
"Conference of the European Association for Machine Translation";"EAMT";"C";"4602"
"Conference of the European Society for Fuzzy Logic and Technologies";"EUSFLAT";"C";"4602"
"Conference on Combinatorial Optimization and Applications";"COCOA";"C";"4602"
"Conference on Computational Natural Language Learning";"CoNLL";"B";"4602"
"CONFERENCE ON COMPUTER SCIENCE AND INTELLIGENCE SYSTEMS";"FedCSIS";"C";"4602"
"Conference on Intelligent Computer Mathematics";"CICM";"C";"4613"
"Conference on Learning Theory";"COLT";"A*";"4611"
"Conference on Robot Learning";"CoRL";"Unranked";"4602"
"Discovery Science";"DS";"B";"4611"
"EMAS (merger of DALT, AOSE and PROMAS)";"EMAS";"B";"4602"
"Empirical Methods in Natural Language Processing";"EMNLP";"A*";"4602"
"European Association for Computational Linguistics";"EACL";"A";"4602"
"European Conference on Artificial Intelligence";"ECAI";"A";"4602"
"European Conference on Evolutionary Computation in Combinatorial Optimisation";"EvoCOP";"B";"4602"
"European Conference on Genetic Programming";"EUROGP";"B";"4602"
"European Conference on Multi-Agent Systems";"EUMAS";"C";"4602"
"European Conference on Operations Research";"EURO";"C";"4602"
"European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty";"ECSQARU";"C";"4602"
"Florida Artificial Intelligence Research Society Conference";"FlAIRS";"National: USA";"4602"
"Foundations of Genetic Algorithms";"FOGA";"A";"4602"
"Genetic and Evolutionary Computations";"GECCO";"A";"4602"
"IEEE Automatic Speech Recognition and Understanding Workshop";"ASRU";"C";"4602"
"IEEE Congress on Evolutionary Computation";"CEC";"B";"4602"
"IEEE International Conference on Big Data";"BigData";"B";"4605"
"IEEE International Conference on Cloud Computing in Emerging Markets";"CCEM";"National:India";"4606"
"IEEE International Conference on Cognitive Informatics";"ICCI";"C";"4602"
"IEEE International Conference on Content-Based Multimedia Indexing";"CBMI";"C";"4603"
"IEEE International Conference on Cybernetics and Intelligent Systems";"CIS";"C";"4602"
"IEEE International Conference on Fuzzy Systems";"FUZZ-IEEE";"B";"4602"
"IEEE International Conference on Information Reuse and Integration";"IRI";"National: USA";"4605"
"IEEE International Conference on Intelligent Computer Communication and Processing";"ICCP";"National: Romania";"4602"
"IEEE International Conference on Intelligent Systems";"IEEE IS";"C";"4602"
"IEEE International Conference on Robot and Human Interactive Communication";"RO-MAN";"B";"4608"
"IEEE International Conference on Robotics and Automation";"ICRA";"A*";"4602"
"IEEE International Symposium on Artificial Life";"IEEE Alife";"C";"4602"
"IEEE Swarm Intelligence Symposium";"IEEE SIS";"C";"4602"
"IEEE Symposium on Computational Intelligence in Control and Automation";"IEEE CICA";"C";"4602"
"IEEE/RSJ International Conference on Intelligent Robots and Systems";"IROS";"A";"4602"
"IEEE/WIC/ACM International Conference on Web Intelligence (previously joint with Intelligent Agent Technology WI-IAT)";"WI";"B";"4602"
"IFSA World Congress";"IFSA";"C";"4602"
"Industrial Simulation Conference";"ISC";"C";"4602"
"Innovative Applications in AI";"IAAI";"C";"4602"
"Intelligent Vehicles Conference";"IEEE-IV";"B";"4602"
"Intelligent Virtual Agents";"IVA";"B";"4602"
"International Conference in Methodologies and Intelligent Systems for Technology Enhanced Learning";"MIS4TEL";"National: Spain";"4601"
"International Conference on Agents and Artificial Intelligence";"ICAART";"B";"4602"
"International Conference on AI Engineering – Software Engineering for AI";"CAIN";"B";"4612"
"International Conference on Analysis of Images, Social Networks and Texts";"AIST";"National: Russia";"4602"
"International Conference on Applications of Evolutionary Computation";"EvoApplications";"B";"4602"
"International Conference on Artificial Intelligence";"IC-AI";"National: USA";"4602"
"International Conference on Artificial Intelligence and Law";"ICAIL";"C";"4602"
"International Conference on Artificial Intelligence and Soft Computing";"ICAISC";"National: Poland";"4602"
"International Conference on Artificial Intelligence and Statistics";"AISTATS";"A";"4611"
"International Conference on Artificial Intelligence in Music, Sound, Art and Design";"EvoMUSART";"C";"4602"
